"x1.1","x1.2","x2.1","x2.2","x2.7","x2.8","x2.9","x2.16","x2.17"
5,1014,18,"1","1","2","3","1","4"
2,115,13,"1","1","1","1","1","5"
2,114,16,"1","1","1","1","1","4"
2,113,18,"2","1","3","1","2","3"
2,171,15,"2","1","1","2","1","4"
2,172,16,"1","1","1","1","1","4"
6,600,14,"1","1","1","1","1","3"
6,589,15,"2","3","1","1","2","3"
1,7,19,"1","1","5","1","1","3"
1,8,19,"1","1","5","1","1","3"
1,9,18,"1","1","5","1","1","3"
1,10,13,"1","1","1","1","1","3"
1,11,13,"1","1","1","1","2","3"
1,12,16,"1","1","1","1","1","3"
4,342,20,"1","1","4","1","5","4"
2,154,20,"2","1","5","1","5","3"
2,153,19,"1","1","5","1","1","4"
2,152,15,"1","1","1","1","2","4"
2,150,20,"1","1","5","1","2","4"
2,168,20,"1","1","4","1","1","3"
2,167,18,"1","1","4","1","2","4"
4,367,17,"1","1","5","1","2","3"
3,613,20,"1","1","4","1","6","3"
3,612,16,"1","1","1","1","1","4"
5,451,17,"2","1","1","1","2","3"
3,228,20,"1","1","4","1","2","4"
3,229,13,"1","1","1","1","2","3"
3,230,15,"2","3","1","1","1","3"
5,439,19,"2","1","5","2","1","4"
5,490,20,"1","1","5","1","1","3"
4,352,19,"2","1","4","2","2","3"
4,353,20,"1","1","5","1","2","3"
4,356,19,"1","1","5","3","2","3"
4,355,13,"2","1","1","1","5","4"
4,354,14,"1","1","1","1","5","3"
3,294,19,"2","1","2","1","1","4"
1,13,19,"1","1","5","1","1","4"
1,14,20,"1","1","5","2","1","3"
1,15,16,"1","3","1","1","1","3"
1,16,17,"1","1","1","1","2","3"
1,17200,14,"1","3","1","1","2","3"
3,271,19,"1","1","2","1","6","3"
3,265,20,"2","1","2","1","1","3"
3,270,19,"1","1","5","1","2","3"
3,211,17,"2","1","3","2","1","2"
3,209,16,"2","2","1","2","5","5"
3,207,17,"1","1","4","1","1","3"
3,210,18,"1","1","1","1","2","2"
3,205,19,"1","1","5","1","2","2"
3,202,17,"1","1","1","1","2","2"
3,208,19,"1","1","1","1","2","3"
4,366,13,"1","1","1","1","2","3"
4,365,18,"1","1","5","3","2","3"
4,364,18,"1","1","1","1","5","3"
4,391,17,"1","3","4","1","3","4"
4,387,14,"1","3","4","1","2","2"
4,390,19,"2","3","4","1","2","3"
4,388,15,"1","1","4","1","7","3"
4,389,19,"2","1","5","1","5","4"
4,314,18,"2","1","5","1","2","4"
2,194,19,"1","1","5","1","1","3"
2,196,19,"2","3","5","1","2","3"
3,298,19,"1","3","1","2","1","4"
4,317,17,"2","3","4","2","1",NA
4,357,17,"1","1","1","1","5","3"
1,94,17,"1","1","1","1","2","3"
2,1017,14,"1","1","1","1","2","3"
5,465,19,"1","1","5","1","1","3"
3,614,16,"1","1","1","1","2","3"
3,611,13,"1","1","1","1","6","2"
2,143,17,"2","1","1","1","2","4"
2,138,17,"2","1","1","2","1","4"
2,141,14,"1","1","1","1","1","4"
2,142,15,"2","1","1","1","1","4"
4,381,14,"1","2","3","2","2","3"
6,552,17,"1","1","4","1","2","2"
5,447,15,"1","1","1","2","1","4"
5,448,16,"1","1","5","2","1","4"
5,449,18,"2","1","5","2","1","4"
5,450,19,"1","1","5","2","1","4"
5,451200,16,"1","1","1","2","1","4"
5,482,20,"1","1","5","1","6","3"
5,495,20,"1","2","2","1","1","4"
5,478,20,"1","1","5","3","1","3"
5,479,19,"1","1","5","1","6","3"
5,481,14,"1","1","1","1","4","3"
5,436,19,"1","5","1","1","6","3"
6,543200,20,"1","1","1","1","2","3"
6,543300,19,"1","1","1","1","2","3"
2,123,20,"2","1","5","1","5","3"
6,536,14,"2","1","1","1","1","3"
5,445,17,"1","1","5","2","1","4"
5,483,18,"1","1","4","1","6","3"
5,436200,15,"1","1","1","1","6","3"
5,433,18,"1","1","5","3","6","3"
6,531,19,"1","1","5","1","2","3"
5,441,20,"2","1","5","2","1","3"
5,427,19,"1","1","5","1","3","3"
5,442,19,"1","1","5","2","1","3"
4,382,20,"1","1","5","1","2","4"
5,443,16,"1","1","5","2","1","4"
5,444200,15,"2","1","1","2","1","4"
